Device,Dist_GW_m,SINR_dB,RxPower_dBm,SF,Pac_Env,Pac_Rec,PDR_%,Delay_ms
0,425.7421228311411,9.1565012308415,-104.87439863907794,9,42,27,65.7825061542075,114.3945863098042
1,152.4088991398786,22.540590085302796,-91.49030978461664,7,42,42,100.0,164.4115250088753
2,220.6266224652597,17.721162374915238,-96.3097374950042,7,42,42,100.0,50.46198028054972
3,701.6018704345973,2.6481777249292833,-111.38272214499015,10,42,10,33.240888624646416,234.45811936451204
4,154.67594661385948,22.34821639269454,-91.6826834772249,7,42,42,100.0,58.76579080520995
5,761.8446843285187,1.5749066200595365,-112.4559932498599,10,42,12,27.874533100297683,238.86576433274064
6,543.9448693832624,5.964253327647157,-108.06664654227228,9,42,22,49.821266638235784,122.69749336540123
7,258.2586551007372,15.669253317567126,-98.36164655235231,7,42,41,98.34626658783563,63.5411879526403
8,499.4343230623887,7.076548306689702,-106.95435156322974,9,42,25,55.38274153344851,178.61787758328953
9,520.9519279455913,6.526970381558883,-107.50392948836055,9,42,21,52.63485190779441,204.59780387317005
10,625.9411864369803,4.134894008071143,-109.8960058618483,10,42,18,40.674470040355715,222.00221527936287
11,468.582432331087,7.907319798217046,-106.12358007170239,9,42,29,59.53659899108523,132.920815360351
12,296.02736771808156,13.890943967254572,-100.13995590266487,8,42,39,89.45471983627286,83.98501018312106
13,551.6399885178618,5.781227647170724,-108.24967222274871,9,42,27,48.90613823585362,134.96937485200118
14,594.2328350418359,4.812200502260168,-109.21869936765927,10,42,22,44.06100251130084,229.86671928682415
15,596.7292186982003,4.757580765329422,-109.27331910459002,10,42,21,43.78790382664711,214.92176621943852
16,713.238934159199,2.4338485997254367,-111.597051270194,10,42,14,32.16924299862718,213.9146716670847
17,223.39969551210896,17.558422564477254,-96.47247730544218,7,42,42,100.0,114.0880901532902
18,319.8896532001053,12.880894076971472,-101.15000579294797,8,42,37,84.40447038485736,71.23082405403443
19,316.7503306036767,13.00938756458632,-101.02151230533312,8,42,35,85.0469378229316,79.74667851124113
20,509.9936304223557,6.803957309904746,-107.22694256001469,9,42,18,54.01978654952373,263.8781206394012
21,733.1321703691694,2.0754315575262865,-111.95546831239315,10,42,17,30.377157787631432,203.11436982486833
22,498.9483512464244,7.089232114219627,-106.94166775569981,9,42,30,55.44616057109813,241.7761728665945
23,494.94029509405453,7.194315482220077,-106.83658438769936,9,42,24,55.971577411100384,280.0421008061028
